coefficient_name,value,constrain
coef_mode_logsum_escort,0.676,F
coef_dist_escort,0.046736802,F
coef_dist_squared_escort,0,F
coef_dist_cubed_escort,0,F
coef_dist_logged_escort,-2.403808965,F
coef_dist_hh_child_escort,-0.078449805,F
coef_mode_logsum_shopping,0.676,F
coef_dist_shopping,-0.046575944,F
coef_dist_squared_shopping,-0.000953534,F
coef_dist_cubed_shopping,0,F
coef_dist_logged_shopping,-2.297550828,F
coef_dist_young_shopping,0.032022587,F
coef_dist_female_shopping,0.02130081,F
coef_mode_logsum_eatout,0.79,F
coef_dist_eatout,0,F
coef_dist_squared_eatout,0,F
coef_dist_cubed_eatout,0,F
coef_dist_logged_eatout,-1.904643053,F
coef_dist_young_eatout,0.023697451,F
coef_dist_part_time_eatout,0.024375725,F
coef_dist_hh_child_eatout,-0.034067726,F
coef_dist_veryhigh_inc_eatout,-0.03079323,F
coef_mode_logsum_othmaint,0.676,F
coef_dist_othmaint,-0.04955464,F
coef_dist_squared_othmaint,-0.001372519,F
coef_dist_cubed_othmaint,0,F
coef_dist_logged_othmaint,-1.270318612,F
coef_dist_part_time_othmaint,-0.01938104,F
coef_dist_young_othmaint,-0.049119954,F
coef_mode_logsum_social,0.79,F
coef_dist_social,0,F
coef_dist_logged_social,-1.408912476,F
coef_dist_female_social,-0.008330037,F
coef_dist_veryhigh_inc_social,-0.018940702,F
coef_mode_logsum_othdiscr,0.79,F
coef_dist_othdiscr,0.015757703,F
coef_dist_squared_othdiscr,-0.001806674,F
coef_dist_cubed_othdiscr,0,F
coef_dist_logged_othdiscr,-1.688427559,F
coef_dist_young_othdiscr,0.023693922,F
coef_dist_female_othdiscr,-0.008809842,F
coef_dist_hh_child_othdiscr,-0.016829222,F
coef_dist_zero_auto_othdiscr,0.065231488,F
coef_dist_veryhigh_inc_othdiscr,-0.008247062,F
coef_dc_dest_escort,0.0,F
coef_dc_dest_maint,-2.815562616,F
coef_dc_dest_discr,-0.676444863,F
coef_disc_intra_carroll,0.138738691,F
coef_disc_intra_jefferson,0.125163143,F
coef_disc_intra_clarke,0.481688588,F
coef_disc_intra_loudoun,0.096945133,F
coef_disc_intra_howard,0.135012101,F
coef_disc_intra_annearundel,0.161218332,F
coef_disc_intra_calvert,0.285014434,F
coef_disc_intra_stmarys,0.632004213,F
coef_disc_intra_fauquier,0.315937634,F
coef_disc_intra_stafford,-0.282153072,F
coef_maint_intra_carroll,0.0,F
coef_maint_intra_jefferson,0.0,F
coef_maint_intra_clarke,0.0,F
coef_maint_intra_loudoun,0.0,F
coef_maint_intra_howard,0.0,F
coef_maint_intra_annearundel,0.0,F
coef_maint_intra_calvert,0.0,F
coef_maint_intra_stmarys,0.0,F
coef_maint_intra_fauquier,0.0,F
coef_maint_intra_stafford,0.0,F
