coefficient_name,value,constrain
coef_ivt_work,-0.025,F
coef_cost_work,-0.000659341,F
coef_walk_work,-0.0344,F
coef_bike_work,-0.0367,F
coef_wlk_acc_work,-0.0457,F
coef_wlk_aux_work,-0.05,F
coef_drvacc_pnr_work,-0.05,F
coef_drvacc_knr_work,-0.05,F
coef_iwait_work,-0.0372,F
coef_xwait_work,-0.0382,F
coef_xfers_wlktrn_work,0.0,T
coef_xfers_pnr_work,0.0,T
coef_xfers_knr_work,0.0,T
walk_transit_CBD_ASC_work,0.479,F
drive_transit_CBD_ASC_work,1.17,F
coef_density_walk_work,0.058,F
coef_density_bike_work,0.0145,F
coef_density_wlktrn_work,0.0,T
coef_distpen_drvtrn_work,0.0,T
coef_drvratio_knr_work,0.0,T
coef_drvratio_pnr_work,0.0,T
coef_age010_wlktrn_work,0.0,T
coef_age1619_da_work,-0.205,F
coef_age16p_sr_work,-0.454,F
coef_hhsize1_sr_work,-1.5,F
coef_hhsize2_sr_work,-0.895,F
coef_topology_bike_work,0.0,T
coef_topology_knr_work,0.0,T
coef_topology_pnr_work,0.0,T
coef_topology_walk_work,0.0,T
coef_topology_wlktrn_work,0.0,T
WALK_MR_ASC_work,-0.1982958681346396,F
WALK_BM_ASC_work,-0.7050295931639752,F
WALK_CR_ASC_work,-0.30435567242841,F
WALK_AB_ASC_work,-0.2421979495370841,F
PNR_MR_ASC_work,-0.4813033743243487,F
PNR_BM_ASC_work,-0.2678007082269279,F
PNR_CR_ASC_work,0.6066145365763174,F
PNR_AB_ASC_work,-1.006344043711834,F
KNR_MR_ASC_work,-0.3837712871907451,F
KNR_BM_ASC_work,-0.4457637797436621,F
KNR_CR_ASC_work,-0.0990144318524705,F
KNR_AB_ASC_work,0.203685151942786,F
coef_ivt_school_univ,-0.01,T
coef_cost_school_univ,-0.001,F
coef_walk_school_univ,-0.0138,F
coef_bike_school_univ,-0.0147,F
coef_wlk_acc_school_univ,-0.0183,F
coef_wlk_aux_school_univ,-0.0183,F
coef_drvacc_pnr_school_univ,-0.0182,F
coef_drvacc_knr_school_univ,-0.0182,F
coef_iwait_school_univ,-0.0149,F
coef_xwait_school_univ,-0.0153,F
coef_xfers_wlktrn_school_univ,0.0,T
coef_xfers_pnr_school_univ,0.0,T
coef_xfers_knr_school_univ,0.0,T
walk_transit_CBD_ASC_school_univ,0.1916,F
drive_transit_CBD_ASC_school_univ,0.468,F
coef_density_walk_school_univ,0.0232,F
coef_density_bike_school_univ,0.0058,F
