coefficient_name,value,constrain
coef_unavailable,-999.0,T
coef_one,1.0,T
coef_nest_root,1.0,T
coef_nest_AUTO,1.0,T
coef_nest_NONMOTORIZED,1.0,T
coef_nest_TRANSIT,1.0,T
coef_nest_WALKACCESS,1.0,T
coef_nest_PNRACCESS,1.0,T
coef_nest_KNRACCESS,1.0,T
coef_nest_RIDEHAIL,1.0,T
coef_nest_SCHOOLBUS,1.0,T
# Work,,
coef_ivt_work,-0.042627681,T
coef_cost_work,-0.000627,T
coef_iwait_work,-0.0633888,T
coef_xwait_work,-0.0650928,T
coef_xfers_drv_work,0.0,T
coef_walktimeshort_work,-0.0778728,T
coef_walktime_work,-0.0586176,T
coef_auxwalk_work,-0.0852,T
coef_bike_time_work,-0.0625368,T
coef_drivetime_work,-0.129,T
coef_ASC_s2_da_work,0.8314828691701583,F
coef_ASC_s3_da_work,1.1877502868918544,F
coef_ASC_s3_s2_work,0.3482528713246992,F
coef_ASC_walk_da_work,-2.1169373265443934,F
coef_ASC_walk_s2_work,-3.5754977373949317,F
coef_ASC_walk_s3_work,-4.752122106688491,F
coef_ASC_bike_walk_work,-0.5109195113375864,F
coef_ASC_walktrn_s2_work,-4.74729272612136,F
coef_ASC_walktrn_s3_work,-6.1728517810145,F
coef_ASC_walktrn_walk_work,0.2580448528502225,F
coef_ASC_walktrn_bike_work,2.0,T
coef_ASC_walktrn_taxi_work,-6.023518130994559,F
coef_ASC_walktrn_tnc_single_work,-5.612479217941268,F
coef_ASC_walktrn_tnc_shared_work,-13.347518353,F
coef_ASC_wlktrn_mr_work,1.5656500038358643,F
coef_ASC_wlktrn_bm_work,0.06446860356815955,F
coef_ASC_wlktrn_cr_work,0.5428262096185399,F
coef_ASC_pnr_mr_work,1.8197579676381905,F
coef_ASC_pnr_bm_work,-0.1917420863073652,F
coef_ASC_pnr_cr_work,2.187324331615389,F
coef_ASC_knr_mr_work,2.119743135886621,F
coef_ASC_knr_bm_work,-0.4696422394958813,F
coef_ASC_knr_cr_work,8.777703180138296,F
coef_ASC_rh_s2_work,-1.7487697642830244,F
coef_ASC_rh_s3_work,-3.4974275255417417,F
coef_ASC_rh_walk_work,2.3544453490185746,F
coef_ASC_taxi_work,-0.135,F
coef_ASC_tnc_shared_work,-1.23,F
coef_ASC_tnc_single_work,0.837,F
coef_ASC_nostop_s2_da_work,-2.08,T
coef_ASC_nostop_s3_da_work,-2.82,T
coef_ASC_nostop_s3_s2_work,-2.59,T
coef_ASC_obstops_first_s2_da_work,-0.363,T
coef_ASC_obstops_first_s3_da_work,-0.509,T
coef_ASC_obstops_first_s3_s2_work,-1.06,T
coef_ASC_ibstops_last_s2_da_work,-0.279,T
coef_ASC_ibstops_last_s3_da_work,-0.309,T
coef_ASC_ibstops_last_s3_s2_work,-0.837,T
coef_ASC_schbus_da_work,0.0,T
coef_ASC_schbus_s2_work,0.0,T
coef_ASC_schbus_s3_work,0.0,T
coef_ASC_schbus_walk_work,0.0,T
coef_ASC_joint_sr2_work,0.0,T
coef_ASC_joint_sr3_work,0.0,T
coef_ASC_joint_walk_work,0.0,T
coef_ASC_joint_bike_work,0.0,T
coef_ASC_joint_walktrn_work,0.0,T
coef_ASC_joint_knrtrn_work,0.0,T
coef_ASC_joint_pnrtrn_work,0.0,T
coef_ASC_joint_rh_work,0.0,T
# Univ,,
coef_ivt_univ,-0.0516,T
coef_cost_univ,-2.45e-06,T
coef_iwait_univ,-0.0769,T
coef_xwait_univ,-0.0789,T
coef_xfers_drv_univ,0.0,T
coef_walktimeshort_univ,-0.0385,T
coef_walktime_univ,-0.0385,T
coef_auxwalk_univ,-0.0944,T
coef_bike_time_univ,-0.0759,T
coef_drivetime_univ,-0.0939,T
coef_ASC_s2_da_univ,-1.0979734967459056,F
coef_ASC_s3_da_univ,0.3173242870927899,F
coef_ASC_s3_s2_univ,-1.7639149461540364,F
coef_ASC_walk_da_univ,-2.3845624304676742,F
coef_ASC_walk_s2_univ,-1.4632005477233716,F
coef_ASC_walk_s3_univ,-2.0,T
coef_ASC_bike_walk_univ,0.027132975014865834,F
coef_ASC_walktrn_s2_univ,-4.353665229445532,F
coef_ASC_walktrn_s3_univ,-2.0,T
coef_ASC_walktrn_walk_univ,1.5003019141418465,F
coef_ASC_walktrn_bike_univ,0.0,T
coef_ASC_walktrn_taxi_univ,-4.332599343548344,F
coef_ASC_walktrn_tnc_single_univ,-1.8646748275337846,F
coef_ASC_walktrn_tnc_shared_univ,-15.0,F
coef_ASC_wlktrn_mr_univ,2.028328001341884,F
coef_ASC_wlktrn_bm_univ,2.576082093393419,F
coef_ASC_wlktrn_cr_univ,-2.0,T
