coefficient_name,value,constrain
coef_full_time_worker,-0.811935,F
coef_female_worker,-0.347009,F
coef_female_worker_preschool_child,0.572657,F
coef_access_to_workplaces,-0.140426,F
coef_non_working_adult_in_hh,-0.372481,F
coef_education_ba_plus,0.284678,F
coef_low_income,-0.393068,F
coef_age_lt_35,-0.573545,F
coef_age_35_to_45,0,F
coef_age_45_to_55,0.21438,F
coef_age_55_to_65,0.451657,F
coef_age_65_plus,0.583518,F
coef_DC,-0.27183047764048557,F
coef_AnneArundel,-0.7807276438782342,F
coef_Calvert,-1.0347190936213562,F
coef_Carroll,-1.0723677164527103,F
coef_Charles,-1.3054953589023075,F
coef_Frederick,-0.527326909798123,F
coef_Howard,-0.6297407082628059,F
coef_Montgomery,-0.5036162858483384,F
coef_PrinceGeorges,-1.2481865310758478,F
coef_StMarys,-1.702817778892816,F
coef_Arlington,-0.08263914861304081,F
coef_Clarke,-0.7649858733469782,F
coef_Fairfax,-0.37894742521168895,F
coef_Fauquier,-0.46862034018162235,F
coef_KingGeorge,-1.2676257908444764,F
coef_Loudoun,-0.2967812621890389,F
coef_PrinceWilliam,-0.9702672184423763,F
coef_Spotsylvania,-1.0124424280174602,F
coef_Stafford,-0.6465285024261446,F
coef_Alexandria,-0.42443220613704236,F
coef_Fredericksburg,-0.3122721985203907,F
coef_Jefferson,-1.0269227163785388,F
